1,1
1,2
2,7
3,173
4,20
5,122
6,140
6,171
7,60
8,69
9,3
10,4
11,10
12,22
13,12
14,90
15,101
16,90
17,127
17,139
18,40
19,41
20,42
21,43
22,44
22,45
23,46
24,47
25,47
26,50
27,60
27,61
28,62
29,63
30,64
31,65
32,66
33,67
34,123
35,5
36,13
36,14
37,164
38,165
38,166
39,167
40,168
41,169
42,170
42,21
43,22
44,23
45,24
46,25
47,26
48,27
49,28
50,29
51,30
51,31
52,32
53,33
53,34
53,35
54,36
55,37
56,38
57,39
58,48
59,49
60,42
61,51
61,52
61,53
62,54
63,55
64,56
65,57
66,58
67,59
68,68
69,69
70,70
71,70
72,71
73,72
74,73
75,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,82
84,83
85,84
86,85
87,86
88,87
89,88
90,89
90,172
91,90
92,91
93,92
94,93
95,94
96,95
97,96
98,97
99,98
100,99
101,100
102,94
102,101
103,102
104,103
105,104
106,105
107,106
108,107
109,108
110,109
111,110
111,111
111,113
112,112
113,112
114,114
115,115
116,116
117,117
118,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
129,131
130,132
131,133
131,134
132,135
133,136
134,137
135,138
136,139
136,140
137,141
138,142
139,143
140,144
141,145
141,146
142,147
143,148
144,149
145,150
146,151
147,152
148,153
149,154
150,155
150,156
150,157
151,158
152,174
152,159
153,160
154,173
154,161
155,162
156,172
156,163
156,174
